Country,Region,Year,GDP_Billion_USD,Latitude,Longitude
Algeria,Africa,2025,212.778,28.0339,1.6596
Singapore,Asia,2016,295.189,1.3521,103.8198
Mexico,North America,2004,898.018,23.6345,-102.5528
Belgium,Europe,2009,336.291,50.5039,4.4699
Bhutan,South Asia,2014,3.533,27.5142,90.4336
Bhutan,South Asia,2009,2.741,27.5142,90.4336
Estonia,Europe,2009,21.59,58.5953,25.0136
Mexico,North America,2022,1341.249,23.6345,-102.5528
Bhutan,South Asia,2020,5.222,27.5142,90.4336
Bhutan,South Asia,2011,3.284,27.5142,90.4336
Costa Rica,Central America,2017,29.916,9.7489,-83.7534
Bhutan,South Asia,2019,4.852,27.5142,90.4336
Bhutan,South Asia,2023,6.146,27.5142,90.4336
Nepal,South Asia,2005,6.595,28.3949,84.124
Belgium,Europe,2013,316.995,50.5039,4.4699
Romania,Europe,2026,262.975,45.9432,24.9668
Mexico,North America,2026,1550.203,23.6345,-102.5528
Nepal,South Asia,2010,7.953,28.3949,84.124
Bhutan,South Asia,2017,3.949,27.5142,90.4336
Nepal,South Asia,2025,16.704,28.3949,84.124
Singapore,Asia,2009,221.77,1.3521,103.8198
Singapore,Asia,2005,182.02,1.3521,103.8198
Algeria,Africa,2020,185.726,28.0339,1.6596
Belgium,Europe,2007,296.921,50.5039,4.4699
Estonia,Europe,2025,34.666,58.5953,25.0136
Singapore,Asia,2023,388.415,1.3521,103.8198
Belgium,Europe,2014,352.417,50.5039,4.4699
Romania,Europe,2021,239.141,45.9432,24.9668
Fiji,Oceania,2019,5.072,-17.7134,178.065
Singapore,Asia,2026,437.02,1.3521,103.8198
Algeria,Africa,2006,153.631,28.0339,1.6596
Romania,Europe,2025,236.379,45.9432,24.9668
Romania,Europe,2021,220.131,45.9432,24.9668
Belgium,Europe,2017,331.37,50.5039,4.4699
Estonia,Europe,2019,27.55,58.5953,25.0136
Singapore,Asia,2011,232.643,1.3521,103.8198
Costa Rica,Central America,2012,26.735,9.7489,-83.7534
Fiji,Oceania,2010,3.416,-17.7134,178.065
Nepal,South Asia,2024,16.621,28.3949,84.124
Nepal,South Asia,2013,8.895,28.3949,84.124
Fiji,Oceania,2024,5.349,-17.7134,178.065
Romania,Europe,2021,202.866,45.9432,24.9668
India,South Asia,2017,1956.257,20.5937,78.9629
Estonia,Europe,2016,28.524,58.5953,25.0136
Costa Rica,Central America,2011,26.229,9.7489,-83.7534
Estonia,Europe,2011,24.531,58.5953,25.0136
Nepal,South Asia,2024,16.194,28.3949,84.124
Mexico,North America,2004,874.038,23.6345,-102.5528
Romania,Europe,2025,247.732,45.9432,24.9668
Fiji,Oceania,2005,2.926,-17.7134,178.065
India,South Asia,2021,2579.522,20.5937,78.9629
Algeria,Africa,2004,143.773,28.0339,1.6596
Mexico,North America,2011,1035.533,23.6345,-102.5528
Estonia,Europe,2017,26.052,58.5953,25.0136
Belgium,Europe,2026,391.731,50.5039,4.4699
India,South Asia,2010,1155.809,20.5937,78.9629
India,South Asia,2010,1040.329,20.5937,78.9629
Costa Rica,Central America,2020,33.889,9.7489,-83.7534
Mexico,North America,2012,1090.815,23.6345,-102.5528
Belgium,Europe,2018,356.927,50.5039,4.4699
Costa Rica,Central America,2013,25.961,9.7489,-83.7534
India,South Asia,2005,719.58,20.5937,78.9629
Belgium,Europe,2018,334.347,50.5039,4.4699
Estonia,Europe,2017,27.601,58.5953,25.0136
Estonia,Europe,2020,32.878,58.5953,25.0136
Bhutan,South Asia,2026,7.403,27.5142,90.4336
Fiji,Oceania,2005,3.104,-17.7134,178.065
Singapore,Asia,2018,327.036,1.3521,103.8198
Fiji,Oceania,2018,4.443,-17.7134,178.065
Algeria,Africa,2004,160.1,28.0339,1.6596
Costa Rica,Central America,2012,26.311,9.7489,-83.7534
Estonia,Europe,2012,26.226,58.5953,25.0136
India,South Asia,2004,730.238,20.5937,78.9629
Estonia,Europe,2019,29.406,58.5953,25.0136
Mexico,North America,2020,1284.337,23.6345,-102.5528
India,South Asia,2024,3326.18,20.5937,78.9629
Belgium,Europe,2009,296.722,50.5039,4.4699
India,South Asia,2014,1503.673,20.5937,78.9629
Fiji,Oceania,2013,3.908,-17.7134,178.065
Belgium,Europe,2026,385.885,50.5039,4.4699
Nepal,South Asia,2005,6.56,28.3949,84.124
Bhutan,South Asia,2007,2.44,27.5142,90.4336
Mexico,North America,2012,1082.871,23.6345,-102.5528
Costa Rica,Central America,2023,33.338,9.7489,-83.7534
Costa Rica,Central America,2008,23.605,9.7489,-83.7534
Mexico,North America,2025,1335.784,23.6345,-102.5528
Bhutan,South Asia,2017,3.932,27.5142,90.4336
Costa Rica,Central America,2024,35.762,9.7489,-83.7534
Nepal,South Asia,2026,17.511,28.3949,84.124
Estonia,Europe,2004,20.954,58.5953,25.0136
Algeria,Africa,2004,158.207,28.0339,1.6596
Costa Rica,Central America,2014,28.454,9.7489,-83.7534
Estonia,Europe,2022,31.194,58.5953,25.0136
Fiji,Oceania,2016,4.149,-17.7134,178.065
Singapore,Asia,2025,443.542,1.3521,103.8198
Romania,Europe,2019,177.201,45.9432,24.9668
Belgium,Europe,2019,358.453,50.5039,4.4699
Algeria,Africa,2025,199.287,28.0339,1.6596
India,South Asia,2026,4192.872,20.5937,78.9629
Romania,Europe,2016,188.564,45.9432,24.9668
India,South Asia,2016,1740.784,20.5937,78.9629
Fiji,Oceania,2016,4.342,-17.7134,178.065
Belgium,Europe,2010,299.868,50.5039,4.4699
Algeria,Africa,2005,158.031,28.0339,1.6596
Costa Rica,Central America,2023,35.89,9.7489,-83.7534
Estonia,Europe,2023,30.183,58.5953,25.0136
Costa Rica,Central America,2015,28.69,9.7489,-83.7534
Singapore,Asia,2021,336.72,1.3521,103.8198
Bhutan,South Asia,2017,4.363,27.5142,90.4336
Estonia,Europe,2024,33.862,58.5953,25.0136
Romania,Europe,2006,141.675,45.9432,24.9668
Nepal,South Asia,2006,6.736,28.3949,84.124
Costa Rica,Central America,2025,39.146,9.7489,-83.7534
Fiji,Oceania,2016,4.014,-17.7134,178.065
Fiji,Oceania,2020,4.913,-17.7134,178.065
Costa Rica,Central America,2022,34.426,9.7489,-83.7534
Belgium,Europe,2018,356.171,50.5039,4.4699
India,South Asia,2014,1509.924,20.5937,78.9629
Fiji,Oceania,2025,5.729,-17.7134,178.065
Fiji,Oceania,2025,5.337,-17.7134,178.065
Romania,Europe,2011,151.512,45.9432,24.9668
Singapore,Asia,2008,207.626,1.3521,103.8198
Fiji,Oceania,2022,4.963,-17.7134,178.065
Estonia,Europe,2012,22.528,58.5953,25.0136
Costa Rica,Central America,2015,28.837,9.7489,-83.7534
Fiji,Oceania,2009,3.57,-17.7134,178.065
Algeria,Africa,2006,143.932,28.0339,1.6596
Algeria,Africa,2007,154.2,28.0339,1.6596
Algeria,Africa,2023,217.796,28.0339,1.6596
Estonia,Europe,2006,21.777,58.5953,25.0136
Costa Rica,Central America,2025,37.361,9.7489,-83.7534
Romania,Europe,2023,209.04,45.9432,24.9668
Nepal,South Asia,2022,14.801,28.3949,84.124
Singapore,Asia,2010,236.529,1.3521,103.8198
Fiji,Oceania,2010,3.61,-17.7134,178.065
India,South Asia,2005,798.887,20.5937,78.9629
Mexico,North America,2014,1176.977,23.6345,-102.5528
Costa Rica,Central America,2017,31.137,9.7489,-83.7534
India,South Asia,2010,1184.664,20.5937,78.9629
Algeria,Africa,2011,172.717,28.0339,1.6596
Mexico,North America,2005,833.974,23.6345,-102.5528
Nepal,South Asia,2019,12.604,28.3949,84.124
Estonia,Europe,2025,32.949,58.5953,25.0136
Nepal,South Asia,2022,13.583,28.3949,84.124
Fiji,Oceania,2012,3.69,-17.7134,178.065
India,South Asia,2006,834.09,20.5937,78.9629
Singapore,Asia,2007,200.543,1.3521,103.8198
India,South Asia,2023,3010.86,20.5937,78.9629
Belgium,Europe,2018,328.334,50.5039,4.4699
Nepal,South Asia,2006,6.901,28.3949,84.124
Costa Rica,Central America,2018,32.888,9.7489,-83.7534
Costa Rica,Central America,2025,36.928,9.7489,-83.7534
Bhutan,South Asia,2013,3.544,27.5142,90.4336
Fiji,Oceania,2012,3.832,-17.7134,178.065
Mexico,North America,2008,916.113,23.6345,-102.5528
Fiji,Oceania,2018,4.417,-17.7134,178.065
Algeria,Africa,2022,197.184,28.0339,1.6596
Costa Rica,Central America,2008,21.969,9.7489,-83.7534
Algeria,Africa,2009,145.37,28.0339,1.6596
Algeria,Africa,2014,170.528,28.0339,1.6596
Nepal,South Asia,2021,12.878,28.3949,84.124
Romania,Europe,2007,137.327,45.9432,24.9668
Fiji,Oceania,2008,3.554,-17.7134,178.065
Algeria,Africa,2024,190.913,28.0339,1.6596
Nepal,South Asia,2011,8.428,28.3949,84.124
Fiji,Oceania,2015,4.228,-17.7134,178.065
India,South Asia,2026,3940.739,20.5937,78.9629
Estonia,Europe,2019,27.041,58.5953,25.0136
Singapore,Asia,2026,420.504,1.3521,103.8198
Nepal,South Asia,2023,15.852,28.3949,84.124
Estonia,Europe,2019,29.66,58.5953,25.0136
Bhutan,South Asia,2019,4.238,27.5142,90.4336
Costa Rica,Central America,2021,35.409,9.7489,-83.7534
India,South Asia,2021,2677.899,20.5937,78.9629
Nepal,South Asia,2024,16.034,28.3949,84.124
Bhutan,South Asia,2019,4.645,27.5142,90.4336
