id,title,type,release_year,genre,country,duration,rating,description
1,Title 0001,Movie,1956,Crime,United Kingdom,103 min,4.9,A gripping tale of love and loss that will keep you on the edge of your seat.
2,Title 0002,TV Show,1984,Documentary,Brazil,5 Seasons,3.8,An emotional journey about a search for identity set against a modern backdrop.
3,Title 0003,TV Show,2004,Horror,United States,2 Seasons,3.8,A gripping tale of the price of fame that will keep you on the edge of your seat.
4,Title 0004,Movie,1963,Family,Italy,166 min,3.9,A gripping tale of a search for identity that will keep you on the edge of your seat.
5,Title 0005,Movie,1959,Crime,Brazil,132 min,6.6,A documentary exploring the fight for justice that will keep you on the edge of your seat.
6,Title 0006,Movie,1965,Animation,Australia,129 min,6.7,A gripping tale of family ties that blends humor and pathos.
7,Title 0007,Movie,2003,Thriller,Australia,118 min,3.9,A quirky comedy following survival in harsh times with stunning performances.
8,Title 0008,TV Show,2019,Comedy,United Kingdom,7 Seasons,6.3,A heartwarming story of the price of fame with unexpected twists and heartfelt moments.
9,Title 0009,Movie,1993,Thriller,Italy,133 min,4.3,An intimate portrait of friendship and betrayal that blends humor and pathos.
10,Title 0010,TV Show,2022,Comedy|Family,Netherlands,3 Seasons,4.2,A heartwarming story of the price of fame in a beautifully shot setting.
11,Title 0011,Movie,1994,Fantasy,Spain,99 min,6.9,A sci-fi adventure about power and corruption in a beautifully shot setting.
12,Title 0012,TV Show,2005,Mystery,United Kingdom,3 Seasons,4.3,A gripping tale of survival in harsh times with stunning performances.
13,Title 0013,TV Show,2006,Comedy,Sweden,3 Seasons,7.9,A high-octane story of the price of fame that redefines the genre.
14,Title 0014,Movie,1970,Sci-Fi,Spain,120 min,2.6,A thrilling mystery about family ties with unexpected twists and heartfelt moments.
15,Title 0015,Movie,2017,Action,Spain,156 min,8.3,An intimate portrait of the price of fame in a beautifully shot setting.
16,Title 0016,Movie,1999,Documentary,South Korea,123 min,9.4,A high-octane story of family ties that redefines the genre.
17,Title 0017,Movie,1982,Romance,Netherlands,116 min,9.4,A documentary exploring survival in harsh times that blends humor and pathos.
18,Title 0018,Movie,1956,Fantasy|Music,Mexico,79 min,5.1,A gripping tale of survival in harsh times with stunning performances.
19,Title 0019,Movie,2019,Music,Germany,102 min,2.8,A heartwarming story of love and loss set against a modern backdrop.
20,Title 0020,Movie,1964,History,Italy,138 min,7.2,A thrilling mystery about survival in harsh times that blends humor and pathos.
21,Title 0021,Movie,1981,Horror,Netherlands,92 min,4.2,An epic saga about family ties with unexpected twists and heartfelt moments.
22,Title 0022,Movie,2024,Action,Brazil,170 min,8.8,A documentary exploring a search for identity with unexpected twists and heartfelt moments.
23,Title 0023,Movie,1969,Animation,France,103 min,1.5,A sci-fi adventure about the fight for justice with unexpected twists and heartfelt moments.
24,Title 0024,Movie,1964,Documentary,South Korea,81 min,8.7,An epic saga about the price of fame with stunning performances.
25,Title 0025,Movie,1997,Fantasy,United Kingdom,162 min,3.7,A quirky comedy following family ties with stunning performances.
26,Title 0026,TV Show,2020,Horror,Italy,5 Seasons,3.9,An emotional journey about the fight for justice that redefines the genre.
27,Title 0027,Movie,1970,Sci-Fi,South Korea,76 min,9.0,An intimate portrait of a search for identity with stunning performances.
28,Title 0028,Movie,1991,Crime,Brazil,109 min,5.2,An emotional journey about a search for identity with stunning performances.
29,Title 0029,Movie,1975,Music,Spain,130 min,3.5,A thrilling mystery about the price of fame with unexpected twists and heartfelt moments.
30,Title 0030,Movie,1963,Documentary,Japan,172 min,8.3,A gripping tale of love and loss in a beautifully shot setting.
31,Title 0031,Movie,2006,Documentary,South Korea,156 min,7.6,An emotional journey about love and loss with stunning performances.
32,Title 0032,Movie,1986,Family,Italy,172 min,3.9,A high-octane story of family ties with unexpected twists and heartfelt moments.
33,Title 0033,Movie,2007,Documentary,South Korea,116 min,5.0,A documentary exploring friendship and betrayal in a beautifully shot setting.
34,Title 0034,TV Show,1970,Sci-Fi,United States,7 Seasons,9.0,An emotional journey about power and corruption with stunning performances.
35,Title 0035,TV Show,2018,Romance,Canada,1 Seasons,8.4,A gripping tale of survival in harsh times in a beautifully shot setting.
36,Title 0036,TV Show,1952,Comedy,Brazil,5 Seasons,2.9,An epic saga about the price of fame with stunning performances.
37,Title 0037,Movie,1986,Music,India,96 min,2.4,A quirky comedy following a coming-of-age moment in a beautifully shot setting.
38,Title 0038,Movie,1998,Romance,South Korea,144 min,9.1,A sci-fi adventure about the fight for justice that will keep you on the edge of your seat.
39,Title 0039,TV Show,1968,Music,Brazil,6 Seasons,7.4,A high-octane story of love and loss that redefines the genre.
40,Title 0040,Movie,1961,Crime,Germany,90 min,6.2,An epic saga about a search for identity that redefines the genre.
41,Title 0041,Movie,2010,Action,Canada,150 min,4.3,An emotional journey about power and corruption set against a modern backdrop.
